Date,Plug-In Hybrid Electric Vehicle (PHEV) Count,Battery Electric Vehicle (BEV) Count,Electric Vehicle (EV) Total
January 31 2017,7687,14738,22425
February 28 2017,7888,15206,23094
March 31 2017,8092,15596,23688
April 30 2017,8286,16104,24390
May 31 2017,8497,16569,25066
June 30 2017,8751,16986,25737
July 31 2017,8931,17379,26310
August 31 2017,9147,17678,26825
September 30 2017,9374,18078,27452
October 31 2017,9649,18524,28173
November 30 2017,9888,18877,28765
December 31 2017,10120,19185,29305
January 31 2018,10534,19733,30267
February 28 2018,10833,19976,30809
March 31 2018,11180,20393,31573
April 30 2018,11514,20924,32438
May 31 2018,11933,21701,33634
June 30 2018,12356,22434,34790
July 31 2018,12649,22984,35633
August 31 2018,12963,23577,36540
September 30 2018,13292,24162,37454
October 31 2018,13640,25519,39159
November 30 2018,14020,26781,40801
December 31 2018,14343,27722,42065
January 31 2019,14726,29111,43837
February 28 2019,14891,29688,44579
March 31 2019,15039,30029,45068
April 30 2019,15294,31050,46344
May 31 2019,15559,31746,47305
June 30 2019,15808,32577,48385
July 31 2019,16071,33559,49630
August 31 2019,16275,34308,50583
September 30 2019,16507,35074,51581
October 31 2019,16788,36648,53436
November 30 2019,16960,37100,54060
December 31 2019,17130,37753,54883
January 31 2020,17353,39784,57137
February 29 2020,17465,40266,57731
March 31 2020,17607,40999,58606
April 30 2020,17566,41344,58910
May 31 2020,17579,41336,58915
June 30 2020,17679,41598,59277
July 31 2020,17815,42998,60813
August 31 2020,17962,43596,61558
September 30 2020,18173,44165,62338
October 31 2020,18427,45183,63610
November 30 2020,18601,46541,65142
December 31 2020,18891,47339,66230
January 31 2021,19223,48907,68130
February 28 2021,19511,49775,69286
March 31 2021,19867,50600,70467
April 30 2021,20324,52466,72790
May 31 2021,20726,53711,74437
June 30 2021,21314,54831,76145
July 31 2021,21718,56880,78598
August 31 2021,22133,58404,80537
September 30 2021,22461,59603,82064
October 31 2021,22873,61327,84200
November 30 2021,23282,62963,86245
December 31 2021,23562,64465,88027
January 31 2022,23898,66056,89954
February 28 2022,24202,67654,91856
March 31 2022,24656,69252,93908
April 30 2022,25014,71653,96667
May 31 2022,25483,73041,98524
June 30 2022,25996,74724,100720
July 31 2022,26300,77180,103480
August 31 2022,26755,79494,106249
September 30 2022,27094,80967,108061
October 31 2022,27445,84245,111690
November 30 2022,27794,87549,115343
December 31 2022,28219,89908,118127
January 31 2023,28748,93187,121935
February 28 2023,29289,95641,124930
March 31 2023,29942,98155,128097
April 30 2023,30862,101503,132365
May 31 2023,31619,104960,136579
June 30 2023,32441,108391,140832
July 31 2023,32982,111828,144810
August 31 2023,33675,116807,150482
